,Port Number,Description
444,211,"Texas Instruments 914C/G Terminal
IANA assigned this well-formed service name as a replacement for ""914c/g""."
445,211,Texas Instruments 914C/G Terminal
446,212,ATEXSSTR
447,212,ATEXSSTR
448,213,IPX
449,213,IPX
450,214,VM PWSCS
451,214,VM PWSCS
452,215,Insignia Solutions
453,215,Insignia Solutions
454,216,Computer Associates Int'l License Server
455,216,Computer Associates Int'l License Server
456,217,dBASE Unix
457,217,dBASE Unix
458,218,Netix Message Posting Protocol
459,218,Netix Message Posting Protocol
460,219,Unisys ARPs
461,219,Unisys ARPs
462,220,Interactive Mail Access Protocol v3
463,220,Interactive Mail Access Protocol v3
464,221,Berkeley rlogind with SPX auth
465,221,Berkeley rlogind with SPX auth
466,222,Berkeley rshd with SPX auth
467,222,Berkeley rshd with SPX auth
468,223,Certificate Distribution Center
469,223,Certificate Distribution Center
470,224,masqdialer
471,224,masqdialer
472,225-241,Reserved
473,242,Direct
474,242,Direct
475,243,Survey Measurement
476,243,Survey Measurement
477,244,inbusiness
478,244,inbusiness
479,245,LINK
480,245,LINK
481,246,Display Systems Protocol
482,246,Display Systems Protocol
483,247,"SUBNTBCST_TFTP
IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
484,247,SUBNTBCST_TFTP
485,247,"SUBNTBCST_TFTP
IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
486,247,SUBNTBCST_TFTP
487,248,bhfhs
488,248,bhfhs
489,249-255,Reserved
490,256,RAP
491,256,RAP
492,257,Secure Electronic Transaction
493,257,Secure Electronic Transaction
494,258,Unassigned
495,259,Efficient Short Remote Operations
496,259,Efficient Short Remote Operations
497,260,Openport
498,260,Openport
499,261,IIOP Name Service over TLS/SSL
500,261,IIOP Name Service over TLS/SSL
501,262,Arcisdms
502,262,Arcisdms
503,263,HDAP
504,263,HDAP
505,264,BGMP
506,264,BGMP
507,265,X-Bone CTL
508,265,X-Bone CTL
509,266,SCSI on ST
510,266,SCSI on ST
511,267,Tobit David Service Layer
512,267,Tobit David Service Layer
513,268,Tobit David Replica
514,268,Tobit David Replica
515,269,MANET Protocols
516,269,MANET Protocols
517,270,Reserved
518,270,Q-mode encapsulation for GIST messages
519,271,IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS)
520,271,Reserved
521,272-279,Unassigned
522,280,http-mgmt
523,280,http-mgmt
524,281,Personal Link
525,281,Personal Link
526,282,Cable Port A/X
527,282,Cable Port A/X
528,283,rescap
529,283,rescap
530,284,corerjd
531,284,corerjd
532,285,Unassigned
533,286,FXP Communication
534,286,FXP Communication
535,287,K-BLOCK
536,287,K-BLOCK
537,288-307,Unassigned
538,308,Novastor Backup
539,308,Novastor Backup
540,309,EntrustTime
541,309,EntrustTime
542,310,bhmds
543,310,bhmds
544,311,AppleShare IP WebAdmin
545,311,AppleShare IP WebAdmin
546,312,VSLMP
547,312,VSLMP
548,313,Magenta Logic
549,313,Magenta Logic
550,314,Opalis Robot
551,314,Opalis Robot
552,315,DPSI
553,315,DPSI
554,316,decAuth
555,316,decAuth
556,317,Zannet
557,317,Zannet
558,318,PKIX TimeStamp
559,318,PKIX TimeStamp
560,319,PTP Event
561,319,PTP Event
562,320,PTP General
563,320,PTP General
564,321,PIP
565,321,PIP
566,322,RTSPS
567,322,RTSPS
568,323,Resource PKI to Router Protocol
569,323,Reserved
570,324,Resource PKI to Router Protocol over TLS
571,324,Reserved
572,325-332,Unassigned
573,333,Texar Security Port
574,333,Texar Security Port
575,334-343,Unassigned
576,344,Prospero Data Access Protocol
577,344,Prospero Data Access Protocol
578,345,Perf Analysis Workbench
579,345,Perf Analysis Workbench
580,346,Zebra server
581,346,Zebra server
582,347,Fatmen Server
583,347,Fatmen Server
584,348,Cabletron Management Protocol
585,348,Cabletron Management Protocol
586,349,mftp
587,349,mftp
588,350,MATIP Type A
589,350,MATIP Type A
590,351,MATIP Type B
591,351,MATIP Type B
592,351,bhoetty
593,351,bhoetty
