,Port Number,Description
8520,4802,Icona License System Server
8521,4802,Icona License System Server
8522,4803,Notateit Messaging
8523,4803,Notateit Messaging Discovery
8524,4804,Reserved
8525,4804,AJA ntv4 Video System Discovery
8526,4805-4826,Unassigned
8527,4827,HTCP
8528,4827,HTCP
8529,4828-4836,Unassigned
8530,4837,Varadero-0
8531,4837,Varadero-0
8532,4838,Varadero-1
8533,4838,Varadero-1
8534,4839,Varadero-2
8535,4839,Varadero-2
8536,4840,OPC UA TCP Protocol
8537,4840,OPC UA TCP Protocol
8538,4841,QUOSA Virtual Library Service
8539,4841,QUOSA Virtual Library Service
8540,4842,nCode ICE-flow Library AppServer
8541,4842,nCode ICE-flow Library AppServer
8542,4843,OPC UA TCP Protocol over TLS/SSL
8543,4843,OPC UA TCP Protocol over TLS/SSL
8544,4844,nCode ICE-flow Library LogServer
8545,4844,nCode ICE-flow Library LogServer
8546,4845,WordCruncher Remote Library Service
8547,4845,WordCruncher Remote Library Service
8548,4846,"Contamac ICM Service
IANA assigned this well-formed service name as a replacement for ""contamac_icm""."
8549,4846,Contamac ICM Service
8550,4846,"Contamac ICM Service
IANA assigned this well-formed service name as a replacement for ""contamac_icm""."
8551,4846,Contamac ICM Service
8552,4847,Web Fresh Communication
8553,4847,Web Fresh Communication
8554,4848,App Server - Admin HTTP
8555,4848,App Server - Admin HTTP
8556,4849,App Server - Admin HTTPS
8557,4849,App Server - Admin HTTPS
8558,4850,Sun App Server - NA
8559,4850,Sun App Server - NA
8560,4851,Apache Derby Replication
8561,4851,Apache Derby Replication
8562,4852-4866,Unassigned
8563,4867,Unify Debugger
8564,4867,Unify Debugger
8565,4868,Photon Relay
8566,4868,Photon Relay
8567,4869,Photon Relay Debug
8568,4869,Photon Relay Debug
8569,4870,Citcom Tracking Service
8570,4870,Citcom Tracking Service
8571,4871,Wired
8572,4871,Wired
8573,4872-4875,Unassigned
8574,4876,Tritium CAN Bus Bridge Service
8575,4876,Tritium CAN Bus Bridge Service
8576,4877,Lighting Management Control System
8577,4877,Lighting Management Control System
8578,4878,Reserved
8579,4878,Agilent Instrument Discovery
8580,4879,WSDL Event Receiver
8581,4879,Reserved
8582,4880,IVI High-Speed LAN Instrument Protocol
8583,4880,Reserved
8584,4881,Reserved
8585,4881,SOCP Time Synchronization Protocol
8586,4882,Reserved
8587,4882,SOCP Control Protocol
8588,4883,Meier-Phelps License Server
8589,4883,Reserved
8590,4884,HiveStor Distributed File System
8591,4884,HiveStor Distributed File System
8592,4885,ABBS
8593,4885,ABBS
8594,4886-4893,Unassigned
8595,4894,LysKOM Protocol A
8596,4894,LysKOM Protocol A
8597,4895-4898,Unassigned
8598,4899,RAdmin Port
8599,4899,RAdmin Port
8600,4900,HFSQL Client/Server Database Engine
8601,4900,HFSQL Client/Server Database Engine
8602,4901,"FileLocator Remote Search Agent
IANA assigned this well-formed service name as a replacement for ""flr_agent""."
8603,4901,FileLocator Remote Search Agent
8604,4901,Reserved
8605,4902,magicCONROL RF and Data Interface
8606,4902,Reserved
8607,4903-4911,Unassigned
8608,4912,Technicolor LUT Access Protocol
8609,4912,Reserved
8610,4913,LUTher Control Protocol
8611,4914,Bones Remote Control
8612,4914,Bones Remote Control
8613,4915,Fibics Remote Control Service
8614,4915,Reserved
8615,4916-4935,Unassigned
8616,4936,Signal protocol port for autonomic networking
8617,4936,Reserved
8618,4937,Reserved
8619,4937,ATSC-M/H Service Signaling Channel
8620,4938-4939,Unassigned
8621,4940,Equitrac Office
8622,4940,Equitrac Office
8623,4941,Equitrac Office
8624,4941,Equitrac Office
8625,4942,Equitrac Office
8626,4942,Equitrac Office
8627,4943-4948,Unassigned
8628,4949,Munin Graphing Framework
8629,4949,Munin Graphing Framework
8630,4950,Sybase Server Monitor
8631,4950,Sybase Server Monitor
8632,4951,PWG WIMS
8633,4951,PWG WIMS
8634,4952,SAG Directory Server
8635,4952,SAG Directory Server
8636,4953,Synchronization Arbiter
8637,4953,Reserved
8638,4954-4968,Unassigned
8639,4969,CCSS QMessageMonitor
8640,4969,CCSS QMessageMonitor
8641,4970,CCSS QSystemMonitor
8642,4970,CCSS QSystemMonitor
8643,4971-4979,Unassigned
8644,4980,Citrix Virtual Path
8645,4980,Reserved
8646,4981-4982,Unassigned
8647,4983,Unassigned
8648,4984,WebYast
8649,4984,Reserved
8650,4985,GER HC Standard
8651,4985,Reserved
8652,4986,Model Railway Interface Program
8653,4986,Model Railway Interface Program
8654,4987,SMAR Ethernet Port 1
8655,4987,SMAR Ethernet Port 1
8656,4988,SMAR Ethernet Port 2
8657,4988,SMAR Ethernet Port 2
8658,4989,Parallel for GAUSS (tm)
8659,4989,Parallel for GAUSS (tm)
8660,4990,BusySync Calendar Synch. Protocol
8661,4990,BusySync Calendar Synch. Protocol
8662,4991,VITA Radio Transport
8663,4991,VITA Radio Transport
8664,4992-4998,Unassigned
8665,4999,HFSQL Client/Server Database Engine Manager
8666,4999,HFSQL Client/Server Database Engine Manager
8667,5000,
8668,5000,
8669,5001,
8670,5001,
8671,5002,radio free ethernet
8672,5002,radio free ethernet
8673,5003,"FileMaker, Inc. - Proprietary transport"
8674,5003,"FileMaker, Inc. - Proprietary name binding"
8675,5004,RTP media data
8676,5004,RTP media data
8677,5004,RTP media data
8678,5005,RTP control protocol
8679,5005,RTP control protocol
8680,5005,RTP control protocol
8681,5006,wsm server
8682,5006,wsm server
8683,5007,wsm server ssl
8684,5007,wsm server ssl
8685,5008,Synapsis EDGE
8686,5008,Synapsis EDGE
8687,5009,Microsoft Windows Filesystem
8688,5009,Microsoft Windows Filesystem
8689,5010,TelepathStart
8690,5010,TelepathStart
8691,5011,TelepathAttack
8692,5011,TelepathAttack
8693,5012,NetOnTap Service
8694,5012,NetOnTap Service
8695,5013,"FileMaker, Inc. - Proprietary transport"
8696,5013,"FileMaker, Inc. - Proprietary transport"
8697,5014,Reserved
8698,5014,Overlay Network Protocol
8699,5015,"FileMaker, Inc. - Web publishing"
8700,5015,Reserved
8701,5016-5019,Unassigned
8702,5020,zenginkyo-1
8703,5020,zenginkyo-1
8704,5021,zenginkyo-2
8705,5021,zenginkyo-2
8706,5022,mice server
8707,5022,mice server
8708,5023,Htuil Server for PLD2
8709,5023,Htuil Server for PLD2
8710,5024,SCPI-TELNET
8711,5024,SCPI-TELNET
8712,5025,SCPI-RAW
8713,5025,SCPI-RAW
8714,5026,Storix I/O daemon (data)
8715,5026,Storix I/O daemon (data)
8716,5027,Storix I/O daemon (stat)
8717,5027,Storix I/O daemon (stat)
8718,5028,Quiqum Virtual Relais
8719,5028,Reserved
8720,5029,Infobright Database Server
8721,5029,Infobright Database Server
8722,5030,SurfPass
8723,5030,SurfPass
8724,5031,Reserved
8725,5031,Direct Message Protocol
8726,5032,SignaCert Enterprise Trust Server Agent
8727,5032,Reserved
8728,5033,Janstor Secure Data
8729,5033,Reserved
8730,5034,Janstor Status
8731,5034,Reserved
8732,5035-5041,Unassigned
8733,5042,asnaacceler8db
8734,5042,asnaacceler8db
8735,5043,ShopWorX Administration
8736,5043,ShopWorX Administration
8737,5044,LXI Event Service
8738,5044,LXI Event Service
8739,5045,Open Settlement Protocol
8740,5045,Reserved
8741,5046,Reserved
8742,5046,Vishay PM UDP Service
8743,5047,Reserved
8744,5047,iSCAPE Data Broadcasting
8745,5048,Texai Message Service
8746,5048,Reserved
8747,5049,iVocalize Web Conference
8748,5049,iVocalize Web Conference
8749,5050,multimedia conference control tool
8750,5050,multimedia conference control tool
8751,5051,ITA Agent
8752,5051,ITA Agent
8753,5052,ITA Manager
8754,5052,ITA Manager
8755,5053,RLM License Server
8756,5053,RLM Discovery Server
8757,5054,RLM administrative interface
8758,5054,Reserved
8759,5055,UNOT
8760,5055,UNOT
8761,5056,Intecom Pointspan 1
8762,5056,Intecom Pointspan 1
8763,5057,Intecom Pointspan 2
8764,5057,Intecom Pointspan 2
8765,5058,Reserved
8766,5058,Locus Discovery
8767,5059,SIP Directory Services
8768,5059,SIP Directory Services
8769,5060,SIP
8770,5060,SIP
8771,5060,SIP
8772,5061,SIP-TLS
8773,5061,SIP-TLS
8774,5061,SIP-TLS
8775,5062,Localisation access
8776,5062,Localisation access
8777,5063,centrify secure RPC
8778,5063,Reserved
8779,5064,Channel Access 1
8780,5064,Channel Access 1
8781,5065,Channel Access 2
8782,5065,Channel Access 2
8783,5066,STANAG-5066-SUBNET-INTF
8784,5066,STANAG-5066-SUBNET-INTF
8785,5067,Authentx Service
8786,5067,Authentx Service
8787,5068,Bitforest Data Service
8788,5068,Reserved
8789,5069,I/Net 2000-NPR
8790,5069,I/Net 2000-NPR
8791,5070,VersaTrans Server Agent Service
8792,5070,VersaTrans Server Agent Service
8793,5071,PowerSchool
8794,5071,PowerSchool
8795,5072,Anything In Anything
8796,5072,Anything In Anything
8797,5073,Advantage Group Port Mgr
8798,5073,Advantage Group Port Mgr
8799,5074,ALES Query
8800,5074,ALES Query
8801,5075,Experimental Physics and Industrial Control System
8802,5075,Reserved
8803,5076-5077,Unassigned
8804,5078,PixelPusher pixel data
8805,5078,Reserved
8806,5079,Reserved
8807,5079,Cambridge Pixel SPx Reports
8808,5080,OnScreen Data Collection Service
8809,5080,OnScreen Data Collection Service
8810,5081,SDL - Ent Trans Server
8811,5081,SDL - Ent Trans Server
8812,5082,Qpur Communication Protocol
8813,5082,Qpur Communication Protocol
8814,5083,Qpur File Protocol
8815,5083,Qpur File Protocol
8816,5084,EPCglobal Low-Level Reader Protocol
8817,5084,EPCglobal Low-Level Reader Protocol
8818,5085,EPCglobal Encrypted LLRP
8819,5085,EPCglobal Encrypted LLRP
8820,5086,Aprigo Collection Service
8821,5086,Reserved
8822,5087,BIOTIC - Binary Internet of Things Interoperable Communication
8823,5087,Reserved
8824,5088-5089,Unassigned
8825,5090,Candidate AR
8826,5091,Context Transfer Protocol
8827,5092,Reserved
8828,5092,Magpie Binary
8829,5093,Sentinel LM
8830,5093,Sentinel LM
8831,5094,HART-IP
8832,5094,HART-IP
8833,5095-5098,Unassigned
8834,5099,SentLM Srv2Srv
8835,5099,SentLM Srv2Srv
8836,5100,Socalia service mux
8837,5100,Socalia service mux
8838,5101,Talarian_TCP
8839,5101,Talarian_UDP
8840,5102,Oracle OMS non-secure
8841,5102,Oracle OMS non-secure
8842,5103,Actifio C2C
8843,5103,Reserved
8844,5104,Reserved
8845,5104,TinyMessage
8846,5105,Reserved
8847,5105,Hughes Association Protocol
8848,5106,Actifio UDS Agent
8849,5106,Reserved
8850,5107,Disk to Disk replication between Actifio Clusters
8851,5107,Reserved
8852,5108-5110,Unassigned
8853,5111,TAEP AS service
8854,5111,TAEP AS service
8855,5112,PeerMe Msg Cmd Service
8856,5112,PeerMe Msg Cmd Service
8857,5113,Unassigned
8858,5114,Enterprise Vault Services
8859,5114,Reserved
8860,5115,Symantec Autobuild Service
8861,5115,Reserved
8862,5116,Reserved
8863,5116,EPSON Projecter Image Transfer
8864,5117,GradeCam Image Processing
8865,5117,Reserved
8866,5118-5119,Unassigned
8867,5120,Barracuda Backup Protocol
8868,5120,Barracuda Backup Protocol
8869,5121-5132,Unassigned
8870,5133,Policy Commander
8871,5133,Policy Commander
8872,5134,PP ActivationServer
8873,5134,Reserved
8874,5135,ERP-Scale
8875,5135,Reserved
8876,5136,Reserved
8877,5136,Minotaur SA
8878,5137,MyCTS server port
8879,5137,MyCTS server port
8880,5138-5144,Unassigned
8881,5145,"RMONITOR SECURE
IANA assigned this well-formed service name as a replacement for ""rmonitor_secure""."
8882,5145,RMONITOR SECURE
8883,5145,"RMONITOR SECURE
IANA assigned this well-formed service name as a replacement for ""rmonitor_secure""."
8884,5145,RMONITOR SECURE
8885,5146,Social Alarm Service
8886,5146,Reserved
8887,5147-5149,Unassigned
8888,5150,Ascend Tunnel Management Protocol
8889,5150,Ascend Tunnel Management Protocol
8890,5151,"ESRI SDE Instance
    IANA assigned this well-formed service name as a replacement for ""esri_sde""."
8891,5151,ESRI SDE Instance
8892,5151,"ESRI SDE Remote Start
    IANA assigned this well-formed service name as a replacement for ""esri_sde""."
8893,5151,ESRI SDE Remote Start
8894,5152,ESRI SDE Instance Discovery
8895,5152,ESRI SDE Instance Discovery
8896,5153,ToruX Game Server
8897,5153,Reserved
8898,5154,BZFlag game server
8899,5154,BZFlag game server
8900,5155,Oracle asControl Agent
8901,5155,Oracle asControl Agent
8902,5156,Russian Online Game
8903,5156,Reserved
8904,5157,Mediat Remote Object Exchange
8905,5157,Reserved
8906,5158-5160,Unassigned
8907,5161,SNMP over SSH Transport Model
8908,5161,Reserved
8909,5162,SNMP Notification over SSH Transport Model
8910,5162,Reserved
8911,5163,Shadow Backup
8912,5163,Reserved
8913,5164,Virtual Protocol Adapter
8914,5164,Virtual Protocol Adapter Discovery
8915,5165,"ife_1corp
IANA assigned this well-formed service name as a replacement for ""ife_icorp""."
8916,5165,ife_1corp
8917,5165,"ife_1corp
IANA assigned this well-formed service name as a replacement for ""ife_icorp""."
8918,5165,ife_1corp
8919,5166,WinPCS Service Connection
8920,5166,WinPCS Service Connection
8921,5167,SCTE104 Connection
8922,5167,SCTE104 Connection
8923,5168,SCTE30 Connection
8924,5168,SCTE30 Connection
8925,5169-5171,Unassigned
8926,5172,PC over IP Endpoint Management
8927,5172,Reserved
8928,5173-5189,Unassigned
8929,5190,America-Online
8930,5190,America-Online
8931,5191,AmericaOnline1
8932,5191,AmericaOnline1
8933,5192,AmericaOnline2
8934,5192,AmericaOnline2
8935,5193,AmericaOnline3
8936,5193,AmericaOnline3
8937,5194,CipherPoint Config Service
8938,5194,Reserved
8939,5195,The protocol is used by a license server and client programs to control use of program licenses that float to networked machines
8940,5195,Reserved
8941,5196,"The protocol is used by two programs that exchange ""table"" data used in the AMPL modeling language"
8942,5196,Reserved
8943,5197,Tunstall Lone worker device interface
8944,5197,Reserved
8945,5198-5199,Unassigned
8946,5200,TARGUS GetData
8947,5200,TARGUS GetData
8948,5201,TARGUS GetData 1
8949,5201,TARGUS GetData 1
8950,5202,TARGUS GetData 2
8951,5202,TARGUS GetData 2
8952,5203,TARGUS GetData 3
8953,5203,TARGUS GetData 3
8954,5204-5208,Unassigned
8955,5209,Nomad Device Video Transfer
8956,5209,Reserved
8957,5210-5214,Unassigned
8958,5215,NOTEZA Data Safety Service
8959,5215,Reserved
8960,5215,NOTEZA Data Safety Service
8961,5216-5220,Unassigned
8962,5221,3eTI Extensible Management Protocol for OAMP
8963,5221,Reserved
8964,5222,XMPP Client Connection
8965,5222,Reserved
8966,5223,HP Virtual Machine Group Management
8967,5223,HP Virtual Machine Group Management
8968,5224,HP Virtual Machine Console Operations
8969,5224,HP Virtual Machine Console Operations
8970,5225,HP Server
8971,5225,HP Server
8972,5226,HP Status
8973,5226,HP Status
8974,5227,HP System Performance Metric Service
8975,5227,HP System Performance Metric Service
8976,5228,HP Virtual Room Service
8977,5228,Reserved
8978,5229,Netflow/IPFIX/sFlow Collector and Forwarder Management
8979,5229,Reserved
8980,5230,JaxMP RealFlow application and protocol data
8981,5230,Reserved
8982,5231,Remote Control of Scan Software for Cruse Scanners
8983,5231,Reserved
8984,5232,Cruse Scanning System Service
8985,5232,Reserved
8986,5233,Etinnae Network File Service
8987,5233,Reserved
8988,5234,EEnet communications
8989,5234,EEnet communications
8990,5235,Galaxy Network Service
8991,5235,Galaxy Network Service
8992,5236,
8993,5236,
8994,5237,m-net discovery
8995,5237,m-net discovery
8996,5238-5244,Unassigned
8997,5245,DownTools Control Protocol
8998,5245,DownTools Discovery Protocol
8999,5246,Reserved
9000,5246,CAPWAP Control Protocol
9001,5247,Reserved
9002,5247,CAPWAP Data Protocol
9003,5248,CA Access Control Web Service
9004,5248,CA Access Control Web Service
9005,5249,CA AC Lang Service
9006,5249,CA AC Lang Service
9007,5250,soaGateway
9008,5250,soaGateway
9009,5251,CA eTrust VM Service
9010,5251,CA eTrust VM Service
9011,5252,Movaz SSC
9012,5252,Movaz SSC
9013,5253,Kohler Power Device Protocol
9014,5253,Reserved
9015,5254,LogCabin storage service
9016,5254,Reserved
9017,5255-5263,Unassigned
9018,5264,3Com Network Jack Port 1
9019,5264,3Com Network Jack Port 1
9020,5265,3Com Network Jack Port 2
9021,5265,3Com Network Jack Port 2
9022,5266-5268,Unassigned
9023,5269,XMPP Server Connection
9024,5269,Reserved
9025,5270,Cartographer XMP
9026,5270,Cartographer XMP
9027,5271,StageSoft CueLink messaging
9028,5271,StageSoft CueLink discovery
9029,5272,PK
9030,5272,PK
9031,5273-5279,Unassigned
9032,5280,Bidirectional-streams Over Synchronous HTTP (BOSH)
9033,5280,Reserved
9034,5281,Undo License Manager
9035,5281,Reserved
9036,5282,Marimba Transmitter Port
9037,5282,Marimba Transmitter Port
9038,5283-5297,Unassigned
9039,5298,XMPP Link-Local Messaging
9040,5298,XMPP Link-Local Messaging
9041,5299,NLG Data Service
9042,5299,NLG Data Service
9043,5300,HA cluster heartbeat
9044,5300,HA cluster heartbeat
9045,5301,HA cluster general services
9046,5301,HA cluster general services
9047,5302,HA cluster configuration
9048,5302,HA cluster configuration
9049,5303,HA cluster probing
9050,5303,HA cluster probing
9051,5304,HA Cluster Commands
9052,5304,HA Cluster Commands
9053,5305,HA Cluster Test
9054,5305,HA Cluster Test
9055,5306,Sun MC Group
9056,5306,Sun MC Group
9057,5307,SCO AIP
9058,5307,SCO AIP
9059,5308,CFengine
9060,5308,CFengine
9061,5309,J Printer
9062,5309,J Printer
9063,5310,Outlaws
9064,5310,Outlaws
9065,5311,Unassigned
9066,5312,Permabit Client-Server
9067,5312,Permabit Client-Server
9068,5313,Real-time & Reliable Data
9069,5313,Real-time & Reliable Data
9070,5314,opalis-rbt-ipc
9071,5314,opalis-rbt-ipc
9072,5315,HA Cluster UDP Polling
9073,5315,HA Cluster UDP Polling
9074,5316,HPBladeSystem Monitor Service
9075,5316,Unassigned
9076,5317,HP Device Monitor Service
9077,5317,Reserved
9078,5318,PKIX Certificate Management using CMS (CMC)
9079,5318,Reserved
9080,5319,Unassigned
9081,5320,Webservices-based Zn interface of BSF
9082,5320,Reserved
9083,5321,Webservices-based Zn interface of BSF over SSL
9084,5321,Reserved
9085,5322-5342,Unassigned
9086,5343,Sculptor Database Server
9087,5343,Sculptor Database Server
9088,5344,xkoto DRCP
9089,5344,xkoto DRCP
9090,5345-5348,Unassigned
9091,5349,STUN over TLS
9092,5349,STUN over DTLS
9093,5349,TURN over TLS
9094,5349,TURN over DTLS
9095,5349,STUN Behavior Discovery over TLS
9096,5349,Reserved for a future enhancement of STUN-BEHAVIOR
9097,5350,Reserved
9098,5350,Port Control Protocol Multicast
9099,5351,Reserved
9100,5351,Port Control Protocol
9101,5352,DNS Long-Lived Queries
9102,5352,DNS Long-Lived Queries
9103,5353,Multicast DNS
9104,5353,Multicast DNS
9105,5354,Multicast DNS Responder IPC
9106,5354,Multicast DNS Responder IPC
9107,5355,LLMNR
9108,5355,LLMNR
9109,5356,Microsoft Small Business
9110,5356,Microsoft Small Business
9111,5357,Web Services for Devices
9112,5357,Web Services for Devices
9113,5358,WS for Devices Secured
9114,5358,WS for Devices Secured
9115,5359,Microsoft Alerter
9116,5359,Microsoft Alerter
9117,5360,Protocol for Windows SideShow
9118,5360,Protocol for Windows SideShow
9119,5361,Secure Protocol for Windows SideShow
9120,5361,Secure Protocol for Windows SideShow
9121,5362,Microsoft Windows Server WSD2 Service
9122,5362,Microsoft Windows Server WSD2 Service
9123,5363,Windows Network Projection
9124,5363,Windows Network Projection
9125,5364,Microsoft Kernel Debugger
9126,5364,Reserved
9127,5365-5396,Unassigned
9128,5397,StressTester(tm) Injector
9129,5397,StressTester(tm) Injector
9130,5398,Elektron Administration
9131,5398,Elektron Administration
9132,5399,SecurityChase
9133,5399,SecurityChase
9134,5400,Excerpt Search
9135,5400,Excerpt Search
9136,5401,Excerpt Search Secure
9137,5401,Excerpt Search Secure
9138,5402,OmniCast MFTP
9139,5402,OmniCast MFTP
9140,5403,HPOMS-CI-LSTN
9141,5403,HPOMS-CI-LSTN
9142,5404,HPOMS-DPS-LSTN
9143,5404,HPOMS-DPS-LSTN
9144,5405,NetSupport
9145,5405,NetSupport
9146,5406,Systemics Sox
9147,5406,Systemics Sox
9148,5407,Foresyte-Clear
9149,5407,Foresyte-Clear
9150,5408,Foresyte-Sec
9151,5408,Foresyte-Sec
9152,5409,Salient Data Server
9153,5409,Salient Data Server
9154,5410,Salient User Manager
9155,5410,Salient User Manager
9156,5411,ActNet
9157,5411,ActNet
9158,5412,Continuus
9159,5412,Continuus
9160,5413,WWIOTALK
9161,5413,WWIOTALK
9162,5414,StatusD
9163,5414,StatusD
9164,5415,NS Server
9165,5415,NS Server
9166,5416,SNS Gateway
9167,5416,SNS Gateway
9168,5417,SNS Agent
9169,5417,SNS Agent
9170,5418,MCNTP
9171,5418,MCNTP
9172,5419,DJ-ICE
9173,5419,DJ-ICE
9174,5420,Cylink-C
9175,5420,Cylink-C
9176,5421,Net Support 2
9177,5421,Net Support 2
9178,5422,Salient MUX
9179,5422,Salient MUX
9180,5423,VIRTUALUSER
9181,5423,VIRTUALUSER
9182,5424,Beyond Remote
9183,5424,Beyond Remote
9184,5425,Beyond Remote Command Channel
9185,5425,Beyond Remote Command Channel
9186,5426,DEVBASIC
9187,5426,DEVBASIC
9188,5427,SCO-PEER-TTA
9189,5427,SCO-PEER-TTA
9190,5428,TELACONSOLE
9191,5428,TELACONSOLE
9192,5429,Billing and Accounting System Exchange
9193,5429,Billing and Accounting System Exchange
9194,5430,RADEC CORP
9195,5430,RADEC CORP
9196,5431,PARK AGENT
9197,5431,PARK AGENT
9198,5432,PostgreSQL Database
9199,5432,PostgreSQL Database
9200,5433,Pyrrho DBMS
9201,5433,Pyrrho DBMS
9202,5434,SGI Array Services Daemon
9203,5434,SGI Array Services Daemon
9204,5435,SCEANICS situation and action notification
9205,5435,SCEANICS situation and action notification
9206,5436,Reserved
9207,5436,pmip6-cntl
9208,5437,Reserved
9209,5437,pmip6-data
9210,5438-5442,Unassigned
9211,5443,Pearson HTTPS
9212,5443,Pearson HTTPS
9213,5444,Unassigned
9214,5445,Server Message Block over Remote Direct Memory Access
9215,5445,Reserved
9216,5445,Server Message Block over Remote Direct Memory Access
9217,5446-5449,Unassigned
9218,5450,TiePie engineering data acquisition
9219,5450,TiePie engineering data acquisition (discovery)
9220,5451-5452,Unassigned
9221,5453,SureBox
9222,5453,SureBox
9223,5454,APC 5454
9224,5454,APC 5454
9225,5455,APC 5455
9226,5455,APC 5455
9227,5456,APC 5456
9228,5456,APC 5456
9229,5457-5460,Unassigned
9230,5461,SILKMETER
9231,5461,SILKMETER
9232,5462,TTL Publisher
9233,5462,TTL Publisher
9234,5463,TTL Price Proxy
9235,5463,TTL Price Proxy
9236,5464,Quail Networks Object Broker
9237,5464,Quail Networks Object Broker
9238,5465,NETOPS-BROKER
9239,5465,NETOPS-BROKER
9240,5466-5469,Unassigned
9241,5470,The Apsolab company's data collection protocol (native api)
9242,5470,Reserved
9243,5471,The Apsolab company's secure data collection protocol (native api)
9244,5471,Reserved
9245,5472,The Apsolab company's dynamic tag protocol
9246,5472,Reserved
9247,5473,The Apsolab company's secure dynamic tag protocol
9248,5473,Reserved
9249,5474,The Apsolab company's status query protocol
9250,5474,Reserved
9251,5475,The Apsolab company's data retrieval protocol
9252,5475,Reserved
9253,5476-5499,Unassigned
9254,5500,fcp-addr-srvr1
9255,5500,fcp-addr-srvr1
9256,5501,fcp-addr-srvr2
9257,5501,fcp-addr-srvr2
9258,5502,fcp-srvr-inst1
9259,5502,fcp-srvr-inst1
9260,5503,fcp-srvr-inst2
9261,5503,fcp-srvr-inst2
9262,5504,fcp-cics-gw1
9263,5504,fcp-cics-gw1
9264,5505,Checkout Database
9265,5505,Checkout Database
9266,5506,Amcom Mobile Connect
9267,5506,Amcom Mobile Connect
9268,5507,PowerSysLab Electrical Management
9269,5507,Reserved
9270,5508-5549,Unassigned
9271,5550,Model Railway control using the CBUS message protocol
9272,5550,Reserved
9273,5551-5552,Unassigned
9274,5553,SGI Eventmond Port
9275,5553,SGI Eventmond Port
9276,5554,SGI ESP HTTP
9277,5554,SGI ESP HTTP
9278,5555,Personal Agent
9279,5555,Personal Agent
9280,5556,Freeciv gameplay
9281,5556,Freeciv gameplay
9282,5557,Sandlab FARENET
9283,5557,Reserved
9284,5558-5564,Unassigned
9285,5565,HPE Advanced BURA
9286,5565,Reserved
9287,5566,Westec Connect
9288,5566,Reserved
9289,5567,DOF Protocol Stack Multicast/Secure Transport
9290,5567,DOF Protocol Stack Multicast/Secure Transport
9291,5568,Session Data Transport Multicast
9292,5568,Session Data Transport Multicast
9293,5569,"PLASA E1.33, Remote Device Management (RDM) controller status notifications"
9294,5569,"PLASA E1.33, Remote Device Management (RDM) messages"
9295,5570-5572,Unassigned
9296,5573,SAS Domain Management Messaging Protocol
9297,5573,SAS Domain Management Messaging Protocol
9298,5574,SAS IO Forwarding
9299,5574,Reserved
9300,5575,Oracle Access Protocol
9301,5575,Reserved
9302,5576-5578,Unassigned
9303,5579,FleetDisplay Tracking Service
9304,5579,Reserved
9305,5580,T-Mobile SMS Protocol Message 0
9306,5580,T-Mobile SMS Protocol Message 0
9307,5581,T-Mobile SMS Protocol Message 1
9308,5581,T-Mobile SMS Protocol Message 1
9309,5582,T-Mobile SMS Protocol Message 3
9310,5582,T-Mobile SMS Protocol Message 3
9311,5583,T-Mobile SMS Protocol Message 2
9312,5583,T-Mobile SMS Protocol Message 2
9313,5584,BeInSync-Web
9314,5584,BeInSync-Web
9315,5585,BeInSync-sync
9316,5585,BeInSync-sync
9317,5586,Planning to send mobile terminated SMS to the specific port so that the SMS is not visible to the client
9318,5586,Reserved
9319,5587-5596,Unassigned
9320,5597,inin secure messaging
9321,5597,inin secure messaging
9322,5598,MCT Market Data Feed
9323,5598,MCT Market Data Feed
9324,5599,Enterprise Security Remote Install
9325,5599,Enterprise Security Remote Install
9326,5600,Enterprise Security Manager
9327,5600,Enterprise Security Manager
9328,5601,Enterprise Security Agent
9329,5601,Enterprise Security Agent
9330,5602,A1-MSC
9331,5602,A1-MSC
9332,5603,A1-BS
9333,5603,A1-BS
9334,5604,A3-SDUNode
9335,5604,A3-SDUNode
9336,5605,A4-SDUNode
9337,5605,A4-SDUNode
9338,5606-5617,Unassigned
9339,5618,Fiscal Registering Protocol
9340,5618,Reserved
9341,5619-5626,Unassigned
9342,5627,Node Initiated Network Association Forma
9343,5627,Node Initiated Network Association Forma
9344,5628,HTrust API
9345,5628,HTrust API
9346,5629,Symantec Storage Foundation for Database
9347,5629,Symantec Storage Foundation for Database
9348,5630,PreciseCommunication
9349,5630,PreciseCommunication
9350,5631,pcANYWHEREdata
9351,5631,pcANYWHEREdata
9352,5632,pcANYWHEREstat
9353,5632,pcANYWHEREstat
9354,5633,BE Operations Request Listener
9355,5633,BE Operations Request Listener
9356,5634,SF Message Service
9357,5634,SF Message Service
9358,5635,SFM Authentication Subsystem
9359,5635,Reserved
9360,5636,SFMdb - SFM DB server
9361,5636,Reserved
9362,5637,Symantec CSSC
9363,5637,Reserved
9364,5638,Symantec Fingerprint Lookup and Container Reference Service
9365,5638,Reserved
9366,5639,Symantec Integrity Checking Service
9367,5639,Reserved
9368,5640-5645,Unassigned
9369,5646,Ventureforth Mobile
9370,5646,Reserved
9371,5647-5669,Unassigned
9372,5670,ZeroMQ file publish-subscribe protocol
9373,5670,Local area discovery and messaging over ZeroMQ
9374,5671,amqp protocol over TLS/SSL
9375,5671,amqp protocol over TLS/SSL
9376,5672,AMQP
9377,5672,AMQP
9378,5672,AMQP
9379,5673,JACL Message Server
9380,5673,JACL Message Server
9381,5674,HyperSCSI Port
9382,5674,HyperSCSI Port
